Index,ABox,Run,Time,Judgement
196,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0514,C
197,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9329,C
198,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0527,C
199,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.888,C
200,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9091,C
201,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0861,C
202,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7576,C
203,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8845,C
204,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.1056,C
205,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9576,C
206,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8918,C
207,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7759,C
208,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0654,C
209,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7426,C
210,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0141,C
211,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9103,C
212,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0865,C
213,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8623,C
214,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7677,C
215,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8961,C
216,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.046,C
217,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.1057,C
218,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9308,C
219,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7127,C
