Index,ABox,Run,Time,Judgement
0,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1195,I
155,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7537,I
156,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7648,I
157,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6102,I
158,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7649,I
159,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6075,I
160,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1201,I
161,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7672,I
162,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6111,I
163,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6114,I
164,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6096,I
165,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.761,I
166,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6058,I
167,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9626,I
168,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9577,I
169,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1193,I
170,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7639,I
171,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9654,I
172,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1171,I
173,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9632,I
174,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1244,I
175,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6054,I
176,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6046,I
177,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7619,I
