,ABox,Run,Time,Judgement
169,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5385,I
170,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6001,I
171,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5999,I
172,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2569,I
173,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1015,I
174,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7584,I
175,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0351,I
176,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5359,I
177,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1685,I
178,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2602,I
179,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5338,I
180,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4803,I
181,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4762,I
182,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5388,I
183,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3215,I
184,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1039,I
185,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5376,I
186,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4112,I
187,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5343,I
188,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6007,I
189,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2594,I
190,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6909,I
191,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5971,I
192,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.601,I
193,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7523,I
194,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6899,I
195,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6928,I
196,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2593,I
197,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1934,I
198,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.196,I
199,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5378,I
200,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6941,I
201,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6923,I
202,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5369,I
203,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.601,I
204,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6901,I
205,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6027,I
206,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2554,I
207,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1898,I
208,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6013,I
209,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6954,I
210,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4745,I
211,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3261,I
212,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6,I
213,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7585,I
214,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5345,I
215,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6943,I
216,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1874,I
217,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2566,I
218,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.326,I
219,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7611,I
220,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7603,I
221,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2679,I
222,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6041,I
223,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5365,I
224,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7552,I
225,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3412,I
226,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1657,I
227,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6045,I
228,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6027,I
229,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1011,I
230,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6894,I
231,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6958,I
232,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5367,I
233,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6037,I
234,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4822,I
235,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.757,I
236,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5346,I
237,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6004,I
238,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7589,I
239,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6024,I
240,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7547,I
241,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7558,I
242,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0333,I
243,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.534,I
244,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4831,I
245,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1057,I
246,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6023,I
247,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4139,I
